actor,nationality
Marlon Brando,United States
Al Pacino,United States
James Caan,United States
Robert De Niro,United States
Diane Keaton,United States
Henry Fonda,United States
Lee J. Cobb,United States
Jack Warden,United States
Liam Neeson,United Kingdom
Ben Kingsley,United Kingdom
Ralph Fiennes,United Kingdom
Tyrone Power,United States
Marlene Dietrich,Germany
Charles Laughton,United Kingdom
Tim Robbins,United States
Morgan Freeman,United States
Bob Gunton,United States
Robert Redford,United States
Paul Newman,United States
Robert Shaw,United Kingdom
Tatsuya Nakadai,Japan
Rentarô Mikuni,Japan
Akira Ishihama,Japan
William Holden,United States
Gloria Swanson,United States
Erich von Stroheim,Austria
Roberto Benigni,Italy
Nicoletta Braschi,Italy
Giorgio Cantarini,Italy
Kirk Douglas,United States
George Macready,United States
Adolphe Menjou,United States
Bette Davis,United States
Anne Baxter,United States
George Sanders,Russia
Toshirô Mifune,Japan
Takashi Shimura,Japan
Yoshio Inaba,Japan
Kyôko Kagawa,Japan
Yutaka Sada,Japan
Jack Lemmon,United States
Shirley MacLaine,United States
Fred MacMurray,United States
Alexandre Rodrigues,Brazil
Leandro Firmino,Brazil
Phellipe Haagensen,Brazil
George O'Brien,United States
Janet Gaynor,United States
Margaret Livingston,United States
Charles Chaplin,United Kingdom
Jackie Coogan,United States
Edna Purviance,United States
Philippe Leroy,France
Marc Michel,France
Michel Constantin,France
Mack Swain,United States
Georgia Hale,United States
Ray Liotta,United States
Joe Pesci,United States
Humphrey Bogart,United States
Ingrid Bergman,Sweden
Paul Henreid,Italy
Jack Nicholson,United States
Louise Fletcher,United States
Brad Dourif,United States
Philippe Noiret,France
Marco Leonardi,Australia
Salvatore Cascio,Italy
Edward Norton,United States
Edward Furlong,United States
Fairuza Balk,United States
Estela Inda,Mexico
Miguel Inclán,Mexico
Alfonso Mejía,Mexico
Jane Darwell,United States
John Carradine,United States
Yûzô Kayama,Japan
Yoshio Tsuchiya,Japan
Michiyo Aratama,Japan
Yusuke Kawazu,Japan
Maksim Munzuk,Russia
Yuriy Solomin,Soviet Union  (USSR)
Svetlana Danilchenko,Soviet Union  (USSR)
Virginia Cherrill,United States
Florence Lee,United States
Paulette Goddard,United States
Jack Oakie,United States
Henry Bergman,United States
Carole Lombard,United States
Jack Benny,United States
Robert Stack,United States
Marilyn Monroe,United States
Tony Curtis,United States
The Marx Brothers,United States
Groucho Marx,United States
Harpo Marx,United States
Buster Keaton,United States
Marion Mack,United States
Glen Cavender,United States
José Isbert,Spain
Nino Manfredi,Italy
Emma Penella,Spain
Tom Hanks,United States
Robin Wright,United States
Gary Sinise,United States
James Cagney,United States
Pamela Tiffin,United States
Horst Buchholz,Germany
Walter Matthau,United States
Susan Sarandon,United States
Cassen,Spain
José Luis López Vázquez,Spain
Elvira Quintilla,Spain
Gene Kelly,United States
Donald O´Connor,United States
Debbie Reynolds,United States
Woody Allen,United States
Mariel Hemingway,United States
James Stewart,United States
Jean Arthur,United States
Lionel Barrymore,United States
Toni Collette,Australia
Philip Seymour Hoffman,United States
Barry Humphries,Australia
Lolita Sevilla,Spain
Manolo Morán,Spain
Tony Roberts,United States
François Cluzet,France
Omar Sy,France
