rank,title,year,director,cast,country,rating,votes,genre,url
1,City Lights,1931,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee",United States,8.6,34221,comedy,https://www.filmaffinity.com/us/film750301.html
2,The Great Dictator,1940,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie",United States,8.6,87505,comedy,https://www.filmaffinity.com/us/film155010.html
3,Modern Times,1936,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",United States,8.6,64987,comedy,https://www.filmaffinity.com/us/film726746.html
4,The Sting,1973,George Roy Hill,"Robert Redford, Paul Newman, Robert Shaw",United States,8.5,103753,comedy,https://www.filmaffinity.com/us/film385464.html
5,To Be or Not to Be,1942,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack",United States,8.5,37124,comedy,https://www.filmaffinity.com/us/film684718.html
6,Life Is Beautiful,1997,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",Italy,8.5,194953,comedy,https://www.filmaffinity.com/us/film594480.html
7,The Apartment,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",United States,8.4,84826,comedy,https://www.filmaffinity.com/us/film795770.html
8,The Kid,1921,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance",United States,8.4,34637,comedy,https://www.filmaffinity.com/us/film344683.html
9,The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain, Georgia Hale",United States,8.4,29329,comedy,https://www.filmaffinity.com/us/film811454.html
10,Cinema Paradiso,1988,Giuseppe Tornatore,"Philippe Noiret, Marco Leonardi, Salvatore Cascio",Italy,8.3,96384,comedy,https://www.filmaffinity.com/us/film420972.html
11,Some Like It Hot,1959,Billy Wilder,"Marilyn Monroe, Jack Lemmon, Tony Curtis",United States,8.3,85176,comedy,https://www.filmaffinity.com/us/film353180.html
12,A Night at the Opera,1935,Sam Wood,"The Marx Brothers, Groucho Marx, Harpo Marx",United States,8.3,47472,comedy,https://www.filmaffinity.com/us/film514584.html
13,The General,1926,Buster Keaton,"Buster Keaton, Marion Mack, Glen Cavender",United States,8.2,30622,comedy,https://www.filmaffinity.com/us/film228751.html
14,The Executioner,1963,Luis García Berlanga,"José Isbert, Nino Manfredi, Emma Penella",Spain,8.2,43333,comedy,https://www.filmaffinity.com/us/film411856.html
15,Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",United States,8.2,206186,comedy,https://www.filmaffinity.com/us/film444796.html
16,"One, Two, Three",1961,Billy Wilder,"James Cagney, Pamela Tiffin, Horst Buchholz",United States,8.1,28616,comedy,https://www.filmaffinity.com/us/film459265.html
17,The Front Page,1974,Billy Wilder,"Jack Lemmon, Walter Matthau, Susan Sarandon",United States,8.1,27133,comedy,https://www.filmaffinity.com/us/film159596.html
18,Placido,1961,Luis García Berlanga,"Cassen, José Luis López Vázquez, Elvira Quintilla",Spain,8.1,21831,comedy,https://www.filmaffinity.com/us/film895672.html
19,Duck Soup,1933,Leo McCarey,"The Marx Brothers, Groucho Marx, Harpo Marx",United States,8.1,40786,comedy,https://www.filmaffinity.com/us/film579952.html
20,Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, Donald O´Connor, Debbie Reynolds",United States,8.1,50519,comedy,https://www.filmaffinity.com/us/film432676.html
21,Manhattan,1979,Woody Allen,"Woody Allen, Diane Keaton, Mariel Hemingway",United States,8.0,56757,comedy,https://www.filmaffinity.com/us/film448855.html
22,You Can't Take it with You,1938,Frank Capra,"James Stewart, Jean Arthur, Lionel Barrymore",United States,8.0,9476,comedy,https://www.filmaffinity.com/us/film483290.html
23,Mary and Max,2009,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Barry Humphries",Australia,8.0,26736,comedy,https://www.filmaffinity.com/us/film563877.html
24,Welcome Mr. Marshall,1953,Luis García Berlanga,"José Isbert, Lolita Sevilla, Manolo Morán",Spain,8.0,32896,comedy,https://www.filmaffinity.com/us/film435869.html
25,Annie Hall,1977,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts",United States,8.0,75445,comedy,https://www.filmaffinity.com/us/film487991.html
26,The Intouchables,2011,Olivier Nakache,"François Cluzet, Omar Sy, Anne Le Ny",France,8.0,114558,comedy,https://www.filmaffinity.com/us/film217719.html
27,The Circus,1928,Charles Chaplin,"Charles Chaplin, Merna Kennedy, Betty Morrisey",United States,8.0,8601,comedy,https://www.filmaffinity.com/us/film656790.html
28,The Philadelphia Story,1940,George Cukor,"Cary Grant, Katharine Hepburn, James Stewart",United States,8.0,28284,comedy,https://www.filmaffinity.com/us/film567410.html
29,The Shop Around the Corner,1940,Ernst Lubitsch,"James Stewart, Margaret Sullavan, Frank Morgan",United States,8.0,13757,comedy,https://www.filmaffinity.com/us/film778099.html
30,Arsenic and Old Lace,1944,Frank Capra,"Cary Grant, Priscilla Lane, Peter Lorre",United States,8.0,25718,comedy,https://www.filmaffinity.com/us/film601961.html
