rank,title,year,director,cast,country,rating,votes,genre,url
1,The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",United States,9.0,178429,drama,https://www.filmaffinity.com/us/film809297.html
2,The Godfather: Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro, Diane Keaton",United States,8.9,142740,drama,https://www.filmaffinity.com/us/film730528.html
3,12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Jack Warden",United States,8.7,74856,drama,https://www.filmaffinity.com/us/film695552.html
4,Schindler's List,1993,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes",United States,8.6,178616,drama,https://www.filmaffinity.com/us/film656153.html
5,Witness for the Prosecution,1957,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",United States,8.6,47277,drama,https://www.filmaffinity.com/us/film667376.html
6,The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",United States,8.6,173455,drama,https://www.filmaffinity.com/us/film161026.html
7,The Sting,1973,George Roy Hill,"Robert Redford, Paul Newman, Robert Shaw",United States,8.5,103750,drama,https://www.filmaffinity.com/us/film385464.html
8,Harakiri,1962,Masaki Kobayashi,"Tatsuya Nakadai, Rentarô Mikuni, Akira Ishihama",Japan,8.5,15454,drama,https://www.filmaffinity.com/us/film209631.html
9,Sunset Boulevard,1950,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",United States,8.5,48978,drama,https://www.filmaffinity.com/us/film536488.html
10,Life Is Beautiful,1997,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",Italy,8.5,194948,drama,https://www.filmaffinity.com/us/film594480.html
11,Paths of Glory,1957,Stanley Kubrick,"Kirk Douglas, George Macready, Adolphe Menjou",United States,8.4,58687,drama,https://www.filmaffinity.com/us/film448956.html
12,All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",United States,8.4,37229,drama,https://www.filmaffinity.com/us/film412657.html
13,Seven Samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Yoshio Inaba",Japan,8.4,44573,drama,https://www.filmaffinity.com/us/film168398.html
14,High and Low,1963,Akira Kurosawa,"Toshirô Mifune, Kyôko Kagawa, Yutaka Sada",Japan,8.4,11715,drama,https://www.filmaffinity.com/us/film914275.html
15,The Apartment,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",United States,8.4,84818,drama,https://www.filmaffinity.com/us/film795770.html
16,City of God,2002,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen",Brazil,8.4,131947,drama,https://www.filmaffinity.com/us/film412004.html
17,Sunrise,1927,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston",United States,8.4,15355,drama,https://www.filmaffinity.com/us/film357856.html
18,The Kid,1921,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance",United States,8.4,34636,drama,https://www.filmaffinity.com/us/film344683.html
19,The Hole (The Night Watch),1960,Jacques Becker,"Philippe Leroy, Marc Michel, Michel Constantin",France,8.4,14383,drama,https://www.filmaffinity.com/us/film803236.html
20,The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain, Georgia Hale",United States,8.4,29328,drama,https://www.filmaffinity.com/us/film811454.html
21,Goodfellas,1990,Martin Scorsese,"Ray Liotta, Robert De Niro, Joe Pesci",United States,8.4,118023,drama,https://www.filmaffinity.com/us/film978961.html
22,Casablanca,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",United States,8.4,101292,drama,https://www.filmaffinity.com/us/film165208.html
23,One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson, Louise Fletcher, Brad Dourif",United States,8.3,114059,drama,https://www.filmaffinity.com/us/film371621.html
24,Cinema Paradiso,1988,Giuseppe Tornatore,"Philippe Noiret, Marco Leonardi, Salvatore Cascio",Italy,8.3,96373,drama,https://www.filmaffinity.com/us/film420972.html
25,American History X,1998,Tony Kaye,"Edward Norton, Edward Furlong, Fairuza Balk",United States,8.3,156843,drama,https://www.filmaffinity.com/us/film261972.html
26,The Young and the Damned,1950,Luis Buñuel,"Estela Inda, Miguel Inclán, Alfonso Mejía",Mexico,8.3,15398,drama,https://www.filmaffinity.com/us/film300612.html
27,The Grapes of Wrath,1940,John Ford,"Henry Fonda, Jane Darwell, John Carradine",United States,8.3,24875,drama,https://www.filmaffinity.com/us/film940315.html
28,Red Beard,1965,Akira Kurosawa,"Toshirô Mifune, Yûzô Kayama, Yoshio Tsuchiya",Japan,8.3,6055,drama,https://www.filmaffinity.com/us/film418007.html
29,The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi,"Tatsuya Nakadai, Michiyo Aratama, Yusuke Kawazu",Japan,8.3,2972,drama,https://www.filmaffinity.com/us/film106223.html
30,Dersu Uzala,1975,Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin, Svetlana Danilchenko",Soviet Union  (USSR),8.3,35102,drama,https://www.filmaffinity.com/us/film478505.html
