rank,title,year,director,cast,country,rating,votes,genre,url
1,Psycho,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, John Gavin",United States,8.4,112384,horror,https://www.filmaffinity.com/us/film363992.html
2,The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn",United States,8.2,179443,horror,https://www.filmaffinity.com/us/film768790.html
3,Freaks,1932,Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova",United States,8.2,24481,horror,https://www.filmaffinity.com/us/film970488.html
4,The Shining,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",United Kingdom,8.2,151947,horror,https://www.filmaffinity.com/us/film598422.html
5,The Cabinet of Dr. Caligari,1920,Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher",Germany,8.1,21723,horror,https://www.filmaffinity.com/us/film446167.html
6,Faust,1926,F.W. Murnau,"Emil Jannings, Gösta Ekman, Camilla Horn",Germany,8.1,6771,horror,https://www.filmaffinity.com/us/film486931.html
7,Alien,1979,Ridley Scott,"Sigourney Weaver, John Hurt, Yaphet Kotto",United Kingdom,8.1,127852,horror,https://www.filmaffinity.com/us/film708792.html
8,Diabolique,1955,H.G. Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse",France,8.0,11543,horror,https://www.filmaffinity.com/us/film159554.html
9,Nosferatu,1922,F.W. Murnau,"Max Schreck, Alexander Granach, Gustav von Wangenheim",Germany,8.0,32646,horror,https://www.filmaffinity.com/us/film238028.html
10,The Birds,1963,Alfred Hitchcock,"Tippi Hedren, Rod Taylor, Jessica Tandy",United States,7.8,58393,horror,https://www.filmaffinity.com/us/film347306.html
11,Rosemary's Baby,1968,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon",United States,7.7,64227,horror,https://www.filmaffinity.com/us/film721028.html
12,The Unknown,1927,Tod Browning,"Lon Chaney, Joan Crawford, Norman Kerry",United States,7.7,3415,horror,https://www.filmaffinity.com/us/film730704.html
13,The Nightmare Before Christmas,1993,Henry Selick,"Chris Sarandon, Catherine O'Hara",United States,7.7,107145,horror,https://www.filmaffinity.com/us/film366417.html
14,Kwaidan,1964,Masaki Kobayashi,"Tatsuya Nakadai, Rentarô Mikuni, Katsuo Nakamura",Japan,7.7,4333,horror,https://www.filmaffinity.com/us/film522114.html
15,Onibaba,1964,Kaneto Shindô,"Nobuko Otowa, Jitsuko Yoshimura, Kei Sato",Japan,7.7,4366,horror,https://www.filmaffinity.com/us/film375113.html
16,The Innocents,1961,Jack Clayton,"Deborah Kerr, Peter Wyngarde, Megs Jenkins",United Kingdom,7.7,9963,horror,https://www.filmaffinity.com/us/film385125.html
17,The Exorcist,1973,William Friedkin,"Linda Blair, Max von Sydow, Ellen Burstyn",United States,7.7,104535,horror,https://www.filmaffinity.com/us/film519065.html
18,The Sixth Sense,1999,M. Night Shyamalan,"Haley Joel Osment, Bruce Willis, Toni Collette",United States,7.6,166364,horror,https://www.filmaffinity.com/us/film607127.html
19,Invasion of the Body Snatchers,1956,Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates",United States,7.6,17718,horror,https://www.filmaffinity.com/us/film826070.html
20,Bram Stoker's Dracula,1992,Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins",United States,7.6,91776,horror,https://www.filmaffinity.com/us/film763705.html
21,Skeleton of Mrs. Morales,1960,Rogelio A. González,"Arturo de Córdova, Amparo Rivelles, Elda Peralta",Mexico,7.6,1768,horror,https://www.filmaffinity.com/us/film647449.html
22,Young Frankenstein,1974,Mel Brooks,"Gene Wilder, Peter Boyle, Marty Feldman",United States,7.6,37869,horror,https://www.filmaffinity.com/us/film367692.html
23,Perfect Blue,1997,Satoshi Kon,,Japan,7.5,17094,horror,https://www.filmaffinity.com/us/film392480.html
24,The Others,2001,Alejandro Amenábar,"Nicole Kidman, Fionnula Flanagan, Christopher Eccleston",Spain,7.5,153846,horror,https://www.filmaffinity.com/us/film370368.html
25,Frankenstein,1931,James Whale,"Boris Karloff, Colin Clive, Mae Clarke",United States,7.5,19680,horror,https://www.filmaffinity.com/us/film443503.html
26,Misery,1990,Rob Reiner,"Kathy Bates, James Caan, Frances Sternhagen",United States,7.5,44176,horror,https://www.filmaffinity.com/us/film626037.html
27,Dr. Jekyll and Mr. Hyde,1931,Rouben Mamoulian,"Fredric March, Miriam Hopkins, Rose Hobart",United States,7.4,2065,horror,https://www.filmaffinity.com/us/film388608.html
28,The Tenant,1976,Roman Polanski,"Roman Polanski, Isabelle Adjani, Melvyn Douglas",France,7.4,14455,horror,https://www.filmaffinity.com/us/film968575.html
29,Repulsion,1965,Roman Polanski,"Catherine Deneuve, Ian Hendry, Patrick Wymark",United Kingdom,7.4,13265,horror,https://www.filmaffinity.com/us/film163205.html
30,Eyes Without a Face,1960,Georges Franju,"Pierre Brasseur, Alida Valli, Juliette Mayniel",France,7.4,6881,horror,https://www.filmaffinity.com/us/film368901.html
