rank,title,year,director,cast,country,rating,votes,genre,url
1,Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman",United States,8.6,206406,thriller,https://www.filmaffinity.com/us/film160882.html
2,High and Low,1963,Akira Kurosawa,"Toshirô Mifune, Kyôko Kagawa, Yutaka Sada",Japan,8.4,11718,thriller,https://www.filmaffinity.com/us/film914275.html
3,Double Indemnity,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",United States,8.4,35884,thriller,https://www.filmaffinity.com/us/film207165.html
4,City of God,2002,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen",Brazil,8.4,131951,thriller,https://www.filmaffinity.com/us/film412004.html
5,Psycho,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, John Gavin",United States,8.4,112380,thriller,https://www.filmaffinity.com/us/film363992.html
6,Goodfellas,1990,Martin Scorsese,"Ray Liotta, Robert De Niro, Joe Pesci",United States,8.4,118032,thriller,https://www.filmaffinity.com/us/film978961.html
7,M,1931,Fritz Lang,"Peter Lorre, Otto Wernicke, Gustaf Gründgens",Germany,8.3,22801,thriller,https://www.filmaffinity.com/us/film875960.html
8,Seven,1995,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",United States,8.3,180086,thriller,https://www.filmaffinity.com/us/film575149.html
9,The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn",United States,8.2,179433,thriller,https://www.filmaffinity.com/us/film768790.html
10,Scarface,1983,Brian De Palma,"Al Pacino, Steven Bauer, Michelle Pfeiffer",United States,8.2,95776,thriller,https://www.filmaffinity.com/us/film188896.html
11,Dial M for Murder,1954,Alfred Hitchcock,"Grace Kelly, Ray Milland, Robert Cummings",United States,8.2,30453,thriller,https://www.filmaffinity.com/us/film899445.html
12,Reservoir Dogs,1992,Quentin Tarantino,"Tim Roth, Harvey Keitel, Steve Buscemi",United States,8.1,140340,thriller,https://www.filmaffinity.com/us/film137887.html
13,The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",United States,8.1,158068,thriller,https://www.filmaffinity.com/us/film867354.html
14,Fight Club,1999,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter",United States,8.1,191317,thriller,https://www.filmaffinity.com/us/film536945.html
15,The Big Heat,1953,Fritz Lang,"Glenn Ford, Gloria Grahame, Lee Marvin",United States,8.1,12511,thriller,https://www.filmaffinity.com/us/film718330.html
16,The Secret in Their Eyes,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Guillermo Francella",Argentina,8.1,92332,thriller,https://www.filmaffinity.com/us/film313601.html
17,Woman in the Dunes,1964,Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Hiroko Ito",Japan,8.1,3572,thriller,https://www.filmaffinity.com/us/film957823.html
18,The Wages of Fear,1953,H.G. Clouzot,"Yves Montand, Charles Vanel, Véra Clouzot",France,8.1,10978,thriller,https://www.filmaffinity.com/us/film463225.html
19,The Woman in the Window,1944,Fritz Lang,"Edward G. Robinson, Joan Bennett, Raymond Massey",United States,8.1,17371,thriller,https://www.filmaffinity.com/us/film729872.html
20,The Night of the Hunter,1955,Charles Laughton,"Robert Mitchum, Billy Chapin, Sally Ann Bruce",United States,8.1,33447,thriller,https://www.filmaffinity.com/us/film488593.html
21,The Asphalt Jungle,1950,John Huston,"Sterling Hayden, Louis Calhern, Sam Jaffe",United States,8.1,13895,thriller,https://www.filmaffinity.com/us/film920993.html
22,Notorious,1946,Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains",United States,8.1,22136,thriller,https://www.filmaffinity.com/us/film144054.html
23,Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",United States,8.1,81212,thriller,https://www.filmaffinity.com/us/film765048.html
24,Fury,1936,Fritz Lang,"Sylvia Sidney, Spencer Tracy, Walter Abel",United States,8.0,6526,thriller,https://www.filmaffinity.com/us/film668444.html
25,The Lives of Others,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",Germany,8.0,78229,thriller,https://www.filmaffinity.com/us/film381846.html
26,The Roaring Twenties,1939,Raoul Walsh,"James Cagney, Priscilla Lane, Humphrey Bogart",United States,8.0,6858,thriller,https://www.filmaffinity.com/us/film732503.html
27,Rififi,1955,Jules Dassin,"Jean Servais, Carl Möhner, Robert Manuel",France,8.0,7683,thriller,https://www.filmaffinity.com/us/film482723.html
28,Diabolique,1955,H.G. Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse",France,8.0,11541,thriller,https://www.filmaffinity.com/us/film159554.html
29,The Usual Suspects,1995,Bryan Singer,"Chazz Palminteri, Kevin Spacey, Gabriel Byrne",United States,8.0,88698,thriller,https://www.filmaffinity.com/us/film408515.html
30,Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",United States,8.0,161050,thriller,https://www.filmaffinity.com/us/film971380.html
